Urls,Co,NB,NN,RF,SV,domain
www.frontiersin.org/articles/10.3389/fmars.2017.00059,0.392137147,4,3.958351521,3.88,4,www.frontiersin.org
www.mdpi.com/rss/journal/geosciences,0.613926787,4,1.920045509,3.44,1,www.mdpi.com
academic.oup.com/icesjms/article/70/6/1220/635452,0.355275654,1.087992863,1.003264761,3.41,2.5,academic.oup.com
academic.oup.com/icesjms/article/71/4/867/666460,0.349715407,4,2.000097314,3.38,1,academic.oup.com
www.wmo.int/pages/prog/amp/mmop/documents/dbcp/Dbcp30/Abstracts.html,0.431082048,2.999966076,2.67842213,3.37,3,www.wmo.int
academic.oup.com/icesjms/article/72/3/1057/690224,0.433139731,4,3.000889472,3.27,4,academic.oup.com
www.frontiersin.org/articles/10.3389/fmars.2018.00066,0.414795985,4,2.911641806,3.25,2.5,www.frontiersin.org
www.frontiersin.org/articles/10.3389/fmars.2017.00277,0.463788795,2.72089241,2.418324093,3.22,2.5,www.frontiersin.org
academic.oup.com/icesjms/article/72/5/1399/765328,0.358900628,1.000019745,3.77342953,3.21,4,academic.oup.com
www.frontiersin.org/articles/10.3389/fmars.2017.00295,0.351656631,2.401732506,3.222142354,3.2,3,www.frontiersin.org
www.wmo.int/pages/prog/www/OSY/Reports/ET-AWS-6_Geneva_2010_REV.doc,0.543729827,4,3.855364672,3.18,1,www.wmo.int
www.wmo.int/pages/prog/amp/mmop/glossary.html,0.400933612,4,3.953899264,3.17,4,www.wmo.int
www.wmo.int/pages/prog/www/tcp/linkedfiles/TCC-22_TechnicalPlan_DRAFT_Sych_Cmr_Mlwi_MRU_MADA_Btswn_Swzlnd_SA_TNZ_AsOf12September.docx,0.458244854,4,3.01300429,3.17,4,www.wmo.int
academic.oup.com/icesjms/article/72/4/1201/801387,0.351874126,4,3.989703321,3.16,4,academic.oup.com
academic.oup.com/icesjms/article/72/3/863/698697,0.438430951,2.99937791,1.176397064,3.16,4,academic.oup.com
www.frontiersin.org/articles/10.3389/fmars.2016.00283,0.47888049,4,1.728141031,3.15,2.5,www.frontiersin.org
www.jamstec.go.jp/e/about/organization,0.277742357,3.999999744,2.834079725,3.15,3,www.jamstec.go.jp
www.wmo.int/pages/prog/www/OSY/Meetings/IPET-WIFI-SG-RM-1/INF_5_Guide_to_GOS_488-Ed-2010-Update-2013_en_IZ.docx,0.533228639,4,3,3.14,2.5,www.wmo.int
www.wmo.int/pages/prog/www/DPFS/Meetings/ICT-DPFS_Geneva2018/documents/Doc-9_Manual_on_GDPFS-rev.doc,0.31984012,1.000237132,3.286980304,3.13,4,www.wmo.int
academic.oup.com/icesjms/article/71/1/118/641481,0.300891532,0.804978301,3.75729361,3.13,4,academic.oup.com
academic.oup.com/icesjms/article/72/5/1610/755146,0.335029697,2.96432549,3.280182704,3.13,3.5,academic.oup.com
www.wmo.int/pages/prog/www/ISS/Meetings/IPET-DRC_Geneva2009/Report/Report_IPETDRC-I_Geneva2009.doc,0.574240633,4,3.046827608,3.12,1,www.wmo.int
academic.oup.com/icesjms/article/69/1/89/671867,0.428826051,1,2.867685193,3.11,2.5,academic.oup.com
www.jamstec.go.jp/e/about/research,0.277972293,3.994160194,2.754572793,3.1,3,www.jamstec.go.jp
eurogoos.eu/news,0.318759291,2.009820657,3.958781994,3.1,3.5,eurogoos.eu
academic.oup.com/icesjms/article/75/1/210/4091481,0.406283505,1.999945655,3.452289573,3.1,4,academic.oup.com
www.wmo.int/pages/prog/amp/mmop/mmroa_reports.html,0.331292175,1.99208236,3.396500994,3.1,4,www.wmo.int
academic.oup.com/icesjms/article/64/4/768/639621,0.377127341,2.065214724,1.307819354,3.09,4,academic.oup.com
www.wmo.int/pages/prog/www/OSY/Meetings/ICT-IOS8/documents/ICT-IOS8-Doc-6.7-R-MAR.doc,0.430070988,4,3.997399343,3.08,4,www.wmo.int
www.wmo.int/pages/prog/www/OSY/Meetings/ICT-IOS7/documents/ICT-IOS-7-Doc.4.3_Marine-Obs.doc,0.434909921,3,3.285345041,3.08,2.5,www.wmo.int
