URLs,Co,NB,NN,RF,SV,domain,,,
www.frontiersin.org/articles/10.3389/fmars.2017.00059,0.392137147,4,3.958351521,3.88,4,www.frontiersin.org,,,
www.wmo.int/pages/prog/amp/mmop/documents/dbcp/Dbcp30/Abstracts.html,0.431082048,2.999966076,2.67842213,3.37,3,www.wmo.int,,,
academic.oup.com/icesjms/article/72/3/1057/690224,0.433139731,4,3.000889472,3.27,4,academic.oup.com,,,
www.frontiersin.org/articles/10.3389/fmars.2018.00066,0.414795985,4,2.911641806,3.25,2.5,www.frontiersin.org,,,
www.frontiersin.org/articles/10.3389/fmars.2017.00277,0.463788795,2.72089241,2.418324093,3.22,2.5,www.frontiersin.org,,Unique Domains,10
www.frontiersin.org/articles/10.3389/fmars.2017.00295,0.351656631,2.401732506,3.222142354,3.2,3,www.frontiersin.org,,,
www.wmo.int/pages/prog/amp/mmop/glossary.html,0.400933612,4,3.953899264,3.17,4,www.wmo.int,,,
www.wmo.int/pages/prog/www/tcp/linkedfiles/TCC-22_TechnicalPlan_DRAFT_Sych_Cmr_Mlwi_MRU_MADA_Btswn_Swzlnd_SA_TNZ_AsOf12September.docx,0.458244854,4,3.01300429,3.17,4,www.wmo.int,,,
academic.oup.com/icesjms/article/72/4/1201/801387,0.351874126,4,3.989703321,3.16,4,academic.oup.com,,,
www.jamstec.go.jp/e/about/organization,0.277742357,3.999999744,2.834079725,3.15,3,www.jamstec.go.jp,,,
www.wmo.int/pages/prog/www/OSY/Meetings/IPET-WIFI-SG-RM-1/INF_5_Guide_to_GOS_488-Ed-2010-Update-2013_en_IZ.docx,0.533228639,4,3,3.14,2.5,www.wmo.int,,,
academic.oup.com/icesjms/article/72/5/1610/755146,0.335029697,2.96432549,3.280182704,3.13,3.5,academic.oup.com,,,
www.jamstec.go.jp/e/about/research,0.277972293,3.994160194,2.754572793,3.1,3,www.jamstec.go.jp,,,
eurogoos.eu/news,0.318759291,2.009820657,3.958781994,3.1,3.5,eurogoos.eu,,,
www.wmo.int/pages/prog/www/OSY/Meetings/ICT-IOS8/documents/ICT-IOS8-Doc-6.7-R-MAR.doc,0.430070988,4,3.997399343,3.08,4,www.wmo.int,,,
www.wmo.int/pages/prog/www/OSY/Meetings/ICT-IOS7/documents/ICT-IOS-7-Doc.4.3_Marine-Obs.doc,0.434909921,3,3.285345041,3.08,2.5,www.wmo.int,,,
www.wmo.int/pages/prog/www/OSY/Meetings/IPET-WIFI-SG-RM-1/INF_6_1160_en_final_clean.docx,0.494348768,4,2.949418905,3.08,2.5,www.wmo.int,,,
www.wmo.int/pages/prog/www/tcp/documents/hc-36_d07.1_meteo.doc,0.419424592,2.000014114,2.944966824,3.07,4,www.wmo.int,,,
www.wmo.int/pages/prog/www/WDM/reports/RA5-PIW-3.html,0.414509568,3.017164483,2.602602277,3.07,4,www.wmo.int,,,
academic.oup.com/conphys/article/4/1/cow060/2660838,0.517399998,2.000029154,2.458557594,3.03,2.5,academic.oup.com,,,
www.frontiersin.org/articles/10.3389/fmars.2017.00422,0.387892621,3.90599765,2.605089459,3.02,3,www.frontiersin.org,,,
